Start_Time,End_Time,Wake_Sleep,Breathing_Rate_Deviation,Breathing_Rate_Variability,Num_Events,Sleep_Stage
2026/4/27 05:39,2026/4/27 05:42,1,4.394560595,0.0135142,2,2
2026/4/27 05:42,2026/4/27 05:45,1,4.303640384,0.006394375,0,2
2026/4/27 05:45,2026/4/27 05:48,1,5.321989224,0.006160361,1,2
2026/4/27 05:48,2026/4/27 05:51,1,4.382637795,0.00240942,1,2
2026/4/27 05:51,2026/4/27 05:54,1,4.685,0.002485743,0,2
2026/4/27 05:54,2026/4/27 05:57,1,5.997820513,0.002266514,1,2
2026/4/27 05:57,2026/4/27 06:00,1,5.551889632,NaN,2,2
2026/4/27 06:00,2026/4/27 06:03,1,5.157131148,0.002241781,0,2
2026/4/27 06:03,2026/4/27 06:06,1,5.87293959,0.003738319,1,2
2026/4/27 06:06,2026/4/27 06:09,1,5.9628157,0.004420419,0,2
2026/4/27 06:09,2026/4/27 06:12,1,3.798684786,0.00431876,0,2
2026/4/27 06:12,2026/4/27 06:15,1,6.264220779,0.002777381,0,2
2026/4/27 06:15,2026/4/27 06:18,1,5.346025451,0.002725878,0,2
2026/4/27 06:18,2026/4/27 06:21,1,4.777604502,0.00616392,0,2
2026/4/27 06:21,2026/4/27 06:24,1,5.023670285,0.002455217,0,2
2026/4/27 06:24,2026/4/27 06:27,1,2.627857143,0.006063449,0,2
2026/4/27 06:27,2026/4/27 06:30,1,5.769525998,NaN,2,2
2026/4/27 06:30,2026/4/27 06:33,1,6.13904475,0.002604903,0,2
2026/4/27 06:33,2026/4/27 06:36,1,5.221842105,0.002832748,1,2
2026/4/27 06:36,2026/4/27 06:39,1,7.957635561,0.003540054,2,2
2026/4/27 06:39,2026/4/27 06:42,0,6.153288919,0.003592436,1,0
2026/4/27 06:42,2026/4/27 06:45,1,4.382637795,NaN,0,2
2026/4/27 06:45,2026/4/27 06:48,1,6.881731055,0.01030916,0,2
2026/4/27 06:48,2026/4/27 06:51,1,4.377239516,0.002166864,1,2
2026/4/27 06:51,2026/4/27 06:54,0,5.425298507,0.002203051,1,0
2026/4/27 06:54,2026/4/27 06:57,1,4.83983871,NaN,2,2
2026/4/27 06:57,2026/4/27 07:00,1,3.694408194,0.002580285,0,2
2026/4/27 07:00,2026/4/27 07:03,1,2.305080374,0.005640275,0,2
2026/4/27 07:03,2026/4/27 07:06,1,3.611888218,0.002461567,0,2
2026/4/27 07:06,2026/4/27 07:09,1,4.491314307,0.007677897,0,1
2026/4/27 07:09,2026/4/27 07:12,1,4.997195122,0.002649915,1,1
2026/4/27 07:12,2026/4/27 07:15,1,1.800493305,0.001878184,3,1
2026/4/27 07:15,2026/4/27 07:18,1,5.619228188,0.003851164,2,2
2026/4/27 07:18,2026/4/27 07:21,1,5.366773399,0.009310472,0,2
2026/4/27 07:21,2026/4/27 07:24,1,5.178689647,0.003327011,1,2
2026/4/27 07:24,2026/4/27 07:27,1,2.33423157,0.002889592,0,2
2026/4/27 07:27,2026/4/27 07:30,1,6.945506706,0.00337702,0,2
2026/4/27 07:30,2026/4/27 07:33,1,3.564096045,0.003245118,0,2
2026/4/27 07:33,2026/4/27 07:36,1,5.501794167,0.004799573,0,2
2026/4/27 07:36,2026/4/27 07:39,1,4.044405792,0.003415468,2,2
2026/4/27 07:39,2026/4/27 07:42,1,4.125776699,0.008589876,0,2
2026/4/27 07:42,2026/4/27 07:45,1,6.174655172,0.003663843,1,2
2026/4/27 07:45,2026/4/27 07:48,0,5.384758072,0.004686518,2,0
2026/4/27 07:48,2026/4/27 07:51,1,4.878939394,0.004244345,0,2
2026/4/27 07:51,2026/4/27 07:54,1,3.557289157,0.002719281,1,2
2026/4/27 07:54,2026/4/27 07:57,1,4.593280255,0.002640031,1,2
2026/4/27 07:57,2026/4/27 08:00,1,5.23808642,0.004841743,0,2
2026/4/27 08:00,2026/4/27 08:03,1,2.386408451,0.007089824,1,2
2026/4/27 08:03,2026/4/27 08:06,1,3.226130748,0.00360837,0,2
2026/4/27 08:06,2026/4/27 08:09,1,6.849985163,0.001282133,1,2
2026/4/27 08:09,2026/4/27 08:12,1,2.356704745,0.004732064,1,1
2026/4/27 08:12,2026/4/27 08:15,1,2.813519856,0.007197519,0,1
