Start_Time,End_Time,Wake_Sleep,Breathing_Rate_Deviation,Breathing_Rate_Variability,Num_Events,Sleep_Stage,all_90th_percentile,variance
2026/5/27 02:22,2026/5/27 02:25,0,NaN,NaN,0,0,NaN,NaN
2026/5/27 02:25,2026/5/27 02:28,0,NaN,NaN,0,0,NaN,NaN
2026/5/27 02:28,2026/5/27 02:31,0,NaN,NaN,0,0,NaN,NaN
2026/5/27 02:31,2026/5/27 02:34,0,NaN,NaN,0,0,NaN,NaN
2026/5/27 02:34,2026/5/27 02:37,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 02:37,2026/5/27 02:40,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 02:40,2026/5/27 02:43,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 02:43,2026/5/27 02:46,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 02:46,2026/5/27 02:49,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 02:49,2026/5/27 02:52,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 02:52,2026/5/27 02:55,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 02:55,2026/5/27 02:58,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 02:58,2026/5/27 03:01,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:01,2026/5/27 03:04,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:04,2026/5/27 03:07,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:07,2026/5/27 03:10,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:10,2026/5/27 03:13,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:13,2026/5/27 03:16,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:16,2026/5/27 03:19,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:19,2026/5/27 03:22,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:22,2026/5/27 03:25,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:25,2026/5/27 03:28,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:28,2026/5/27 03:31,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:31,2026/5/27 03:34,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:34,2026/5/27 03:37,0,NaN,NaN,0,0,NaN,NaN
2026/5/27 03:37,2026/5/27 03:40,1,NaN,NaN,0,2,NaN,NaN
2026/5/27 03:40,2026/5/27 03:43,1,NaN,NaN,0,1,NaN,NaN
2026/5/27 03:43,2026/5/27 03:46,1,NaN,NaN,0,1,NaN,NaN
2026/5/27 03:46,2026/5/27 03:49,1,NaN,NaN,0,1,NaN,NaN
2026/5/27 03:49,2026/5/27 03:52,1,NaN,NaN,0,1,NaN,NaN
2026/5/27 03:52,2026/5/27 03:55,1,NaN,NaN,0,1,NaN,NaN
2026/5/27 03:55,2026/5/27 03:58,1,3.125417067,0.007593818,1,2,11.35958293,2.542221809
2026/5/27 03:58,2026/5/27 04:01,1,3.696818182,0.003369546,2,2,18.18181818,9.501297269
2026/5/27 04:01,2026/5/27 04:04,1,3.319154303,0.002461325,1,2,17.8041543,16.64327607
2026/5/27 04:04,2026/5/27 04:07,1,4.206588785,0.007137895,1,2,18.69158879,10.54690111
2026/5/27 04:07,2026/5/27 04:10,1,4.963946515,0.002276493,0,2,19.44894652,7.436913542
2026/5/27 04:10,2026/5/27 04:13,1,5.683067227,0.005056853,0,2,20.16806723,10.43450755
2026/5/27 04:13,2026/5/27 04:16,1,6.128019428,0.003625054,0,2,20.61301943,11.99466294
2026/5/27 04:16,2026/5/27 04:19,1,4.715,0.002686381,0,2,19.2,6.497531658
2026/5/27 04:19,2026/5/27 04:22,1,6.294220779,0.002111109,0,2,20.77922078,12.45774662
2026/5/27 04:22,2026/5/27 04:25,1,4.459667536,0.002445802,1,2,18.94466754,7.576253404
2026/5/27 04:25,2026/5/27 04:28,1,5.011653722,0.006127752,0,2,19.49665372,7.167390029
2026/5/27 04:28,2026/5/27 04:31,1,4.179453576,0.00245505,0,2,18.66445358,7.293589071
2026/5/27 04:31,2026/5/27 04:34,1,7.169135338,0.002126139,1,2,21.65413534,12.61219721
2026/5/27 04:34,2026/5/27 04:37,1,3.76595057,0.002790847,0,2,18.25095057,10.06128388
2026/5/27 04:37,2026/5/27 04:40,1,3.731318786,0.003316665,0,2,18.21631879,9.631222754
2026/5/27 04:40,2026/5/27 04:43,1,4.206588785,0.005182346,0,2,18.69158879,10.1100524
2026/5/27 04:43,2026/5/27 04:46,1,7.098305193,0.00138236,0,2,21.58330519,10.62114756
2026/5/27 04:46,2026/5/27 04:49,1,4.684329073,0.002329798,0,2,19.16932907,8.192733681
2026/5/27 04:49,2026/5/27 04:52,1,6.027820513,0.003198506,2,2,20.51282051,12.41217247
2026/5/27 04:52,2026/5/27 04:55,1,0.998870968,0.001986157,0,2,15.48387097,3.546134217
2026/5/27 04:55,2026/5/27 04:58,1,3.115942816,0.003836403,0,2,17.60094282,10.49078485
2026/5/27 04:58,2026/5/27 05:01,1,4.487332016,0.015435475,0,2,18.97233202,12.12097173
2026/5/27 05:01,2026/5/27 05:04,1,5.473419958,0.008638955,0,2,19.95841996,20.03119281
2026/5/27 05:04,2026/5/27 05:07,1,2.874855335,0.006387496,1,2,17.35985533,6.512255359
2026/5/27 05:07,2026/5/27 05:10,0,5.796690141,0.003413156,2,0,20.28169014,11.10825976
2026/5/27 05:10,2026/5/27 05:13,1,6.420923345,0.001967758,0,1,20.90592334,10.25662395
2026/5/27 05:13,2026/5/27 05:16,1,5.122843137,0.00319706,0,1,19.60784314,11.50162257
